"direction","Tissue_cell_type_name","Developmental_stage","Organ_system","General_tissue_name","Specific_cell_type","General_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"Downregulated","Madissoon_2020_spleen_Plasma_IgG","Adult","Lymphatic system","Spleen","Plasma_IgG","Plasma cell",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"Downregulated","Madissoon_2020_spleen_Plasma_IgM","Adult","Lymphatic system","Spleen","Plasma_IgM","Plasma cell",0.00011596115612277,3.93568746341673,1.76580381581566e-05,0.00012351266479544,0.0745387453874539,"JOB2770_IDvCD_downregulated"
"Downregulated","AdultEpityphlon_B cell (Plasmocyte)","Adult","Digestive system","Caecum","B cell (Plasmocyte)","B cell",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
"Downregulated","TS_Spleen_plasma cell","Adult","Lymphatic system","Spleen","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"Downregulated","TS_Lymph_Node_plasma cell","Adult","Lymphatic system","Lymph node","plasma cell","Plasma cell",0.00268725542424419,2.5706910518148,8.19415023343602e-15,0.199390611868113,0.0014760147601476,"JOB2770_IDvCD_downregulated"
"Downregulated","FetalIntestine_Hepatocyte/Endodermal cell","Fetal","Digestive system","Intestine","Hepatocyte/Endodermal cell","Hepatocyte",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"Downregulated","Fetal_HCA_Placenta_AFP_ALB positive cells","Fetal","Reproductive system","Placenta","AFP_ALB positive cells","Hepatocyte",0.00298641741363326,2.52484949072748,0.0001779227832735,0.00337601283774215,0.0981549815498155,"JOB2770_IDvCD_downregulated"
"Downregulated","AdultThyroid_Thyroid follicular cell","Adult","Endocrine system","Thyroid gland","Thyroid follicular cell","Thyroid follicular cell",0.00363195235933789,2.43985985679533,0.00013272784506475,0.00424060149131026,0.0974169741697417,"JOB2770_IDvCD_downregulated"
"Downregulated","Madissoon_2020_lung_Plasma_cells","Adult","Respiratory system","Lung","Plasma_cells","Plasma cell",0.00435391224085124,2.36112032901522,0.0011746849112539,0.00366420905559819,0.138376383763838,"JOB2770_IDvCD_downregulated"
"Downregulated","TS_Small_Intestine_immature enterocyte","Adult","Digestive system","Small intestine","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"Downregulated","TS_Thymus_plasma cell","Adult","Lymphatic system","Thymus","plasma cell","Plasma cell",0.00471149431039275,2.32684132900013,3.00565778376773e-13,0.187821592265606,0.0029520295202952,"JOB2770_IDvCD_downregulated"
"Downregulated","AdultFallopiantube_Stratified epithelial cell","Adult","Reproductive system","Fallopian tube","Stratified epithelial cell","Epithelial cell",0.00478339896333679,2.32026339492781,0.00041568726703343,0.00489933570355263,0.115129151291513,"JOB2770_IDvCD_downregulated"
